,sentiment,city,country,region
14420,neutral,Riyadh,Saudi Arabia,Gulf
14421,negative,Salt,Jordan,Levant
14422,negative,Salt,Jordan,Levant
14423,negative,Salt,Jordan,Levant
14424,neutral,Riyadh,Saudi Arabia,Gulf
14425,neutral,Salt,Jordan,Levant
14426,negative,Salt,Jordan,Levant
14427,neutral,Riyadh,Saudi Arabia,Gulf
14428,negative,Salt,Jordan,Levant
14429,negative,Salt,Jordan,Levant
14430,neutral,Riyadh,Saudi Arabia,Gulf
14431,negative,Salt,Jordan,Levant
14432,negative,Salt,Jordan,Levant
14433,negative,Salt,Jordan,Levant
14434,negative,Salt,Jordan,Levant
14435,negative,Salt,Jordan,Levant
14436,negative,Salt,Jordan,Levant
14437,negative,Salt,Jordan,Levant
14438,neutral,Riyadh,Saudi Arabia,Gulf
14439,negative,Salt,Jordan,Levant
14440,neutral,Riyadh,Saudi Arabia,Gulf
14441,neutral,Riyadh,Saudi Arabia,Gulf
14442,negative,Salt,Jordan,Levant
14443,negative,Riyadh,Saudi Arabia,Gulf
14444,negative,Jeddha,Saudi Arabia,Gulf
14445,neutral,Riyadh,Saudi Arabia,Gulf
14446,neutral,Riyadh,Saudi Arabia,Gulf
14447,neutral,Jeddha,Saudi Arabia,Gulf
14448,negative,Jeddha,Saudi Arabia,Gulf
14449,neutral,Riyadh,Saudi Arabia,Gulf
14450,neutral,Rabat,Morocco,Maghreb
14451,negative,Jeddha,Saudi Arabia,Gulf
14452,negative,Riyadh,Saudi Arabia,Gulf
14453,neutral,Riyadh,Saudi Arabia,Gulf
14454,neutral,Riyadh,Saudi Arabia,Gulf
14455,neutral,Riyadh,Saudi Arabia,Gulf
14456,neutral,Riyadh,Saudi Arabia,Gulf
14457,neutral,Riyadh,Saudi Arabia,Gulf
14458,neutral,Riyadh,Saudi Arabia,Gulf
14459,neutral,Riyadh,Saudi Arabia,Gulf
14460,neutral,Riyadh,Saudi Arabia,Gulf
14461,neutral,Riyadh,Saudi Arabia,Gulf
14462,neutral,Riyadh,Saudi Arabia,Gulf
14463,neutral,Riyadh,Saudi Arabia,Gulf
14464,neutral,Riyadh,Saudi Arabia,Gulf
14465,neutral,Riyadh,Saudi Arabia,Gulf
14466,neutral,Riyadh,Saudi Arabia,Gulf
14467,neutral,Riyadh,Saudi Arabia,Gulf
14468,neutral,Khartoum,Sudan,Nile Basin
14469,neutral,Riyadh,Saudi Arabia,Gulf
14470,neutral,Salt,Jordan,Levant
14471,neutral,Riyadh,Saudi Arabia,Gulf
14472,neutral,Salt,Jordan,Levant
14473,neutral,Riyadh,Saudi Arabia,Gulf
14474,neutral,Salt,Jordan,Levant
14475,neutral,Salt,Jordan,Levant
14476,negative,Jeddha,Saudi Arabia,Gulf
14477,neutral,Riyadh,Saudi Arabia,Gulf
14478,neutral,Riyadh,Saudi Arabia,Gulf
14479,negative,Jeddha,Saudi Arabia,Gulf
14480,neutral,Salt,Jordan,Levant
14481,neutral,Riyadh,Saudi Arabia,Gulf
14482,positive,Jeddha,Saudi Arabia,Levant
14483,neutral,Riyadh,Saudi Arabia,Gulf
14484,negative,Riyadh,Saudi Arabia,Gulf
14485,neutral,Riyadh,Saudi Arabia,Gulf
